name,calories,cholesterol,folic_acid,vitamin_c,vitamin_d,calcium,iron,protein,carbohydrate,fiber,sugars,fat
"Pasta, enriched, dry",371,0.0,219.0,0.0,0.0,21.0,3.3,13.04,74.67,3.2,2.67,1.51
"Cookies, inersnaps",416,0.0,82.0,0.0,0.0,77.0,6.4,5.6,76.9,2.2,19.92,9.8
"Sour cream, fat free",74,9.0,0.0,0.0,0.0,125.0,0.0,3.1,15.6,0.0,0.39,0.0
"MURRAY, Honey Graham",445,0.0,0.0,0.0,0.0,379.0,3.8,5.9,75.7,2.7,22.0,13.2
"Frankfurter, chicken",223,96.0,3.0,0.0,21.0,74.0,1.17,15.51,2.74,0.0,2.98,16.19
"Ham, canned, chopped",239,49.0,0.0,2.0,24.0,7.0,0.95,16.06,0.26,0.0,0.0,18.83
"Spices, dried, thyme",276,0.0,0.0,50.0,0.0,1890.0,123.6,9.11,63.94,37.0,1.71,7.43
"Carrot juice, canned",40,0.0,0.0,8.5,0.0,24.0,0.46,0.95,9.28,0.8,3.91,0.15
"Corn, dried (Navajo)",386,0.0,0.0,0.0,0.0,15.0,1.92,9.88,74.93,0.0,5.38,5.22
"Pate, truffle flavor",327,105.0,0.0,2.0,0.0,70.0,3.94,11.2,6.3,0.0,0.0,28.5
"Fruit butters, apple",173,0.0,0.0,0.6,0.0,14.0,0.31,0.39,42.47,1.5,35.3,0.3
"Fast foods, coleslaw",153,4.0,0.0,14.6,0.0,30.0,0.22,0.95,14.89,1.9,12.19,9.91
"Salami, beef, cooked",261,71.0,0.0,0.0,48.0,6.0,2.2,12.6,1.9,0.0,1.5,22.2
"Spices, chili powder",282,0.0,0.0,0.7,0.0,330.0,17.3,13.46,49.7,34.8,7.19,14.28
"Spices, caraway seed",333,0.0,0.0,21.0,0.0,689.0,16.23,19.77,49.9,38.0,0.64,14.59
"Spices, dried, basil",233,0.0,0.0,0.8,0.0,2240.0,89.8,22.98,47.75,37.7,1.71,4.07
"Pickle relish, sweet",130,0.0,0.0,1.0,0.0,3.0,0.87,0.37,35.06,1.1,29.13,0.47
"Chives, freeze-dried",311,0.0,0.0,660.0,0.0,813.0,20.0,21.2,64.29,26.2,0.0,3.5
"Fish, raw, sablefish",195,49.0,0.0,0.0,0.0,35.0,1.28,13.41,0.0,0.0,0.0,15.3
"Crackers, multirain",482,0.0,57.0,0.0,0.0,14.0,2.59,7.1,67.6,3.5,12.0,20.4
"Spices, round, mace",475,0.0,0.0,21.0,0.0,252.0,13.9,6.71,50.5,20.2,0.0,32.38
"Spices, onion powder",341,0.0,0.0,23.4,0.0,384.0,3.9,10.41,79.12,15.2,6.63,1.04
"Butter, without salt",717,215.0,0.0,0.0,0.0,24.0,0.02,0.85,0.06,0.0,0.06,81.11
"Rice noodles, cooked",108,0.0,0.0,0.0,0.0,4.0,0.14,1.79,24.01,1.0,0.03,0.2
Barley flour or meal,345,0.0,0.0,0.0,0.0,32.0,2.68,10.5,74.52,10.1,0.8,1.6
"Sesbania flower, raw",27,0.0,0.0,73.0,0.0,19.0,0.84,1.28,6.73,0.0,0.0,0.04
"Garlic bread, frozen",350,0.0,50.0,0.2,9.0,27.0,3.05,8.36,41.72,2.5,3.69,16.61
"KFC, Popcorn Chicken",351,40.0,0.0,0.0,0.0,32.0,1.42,17.67,21.18,1.0,0.0,21.74
"APPLEBEE'S, coleslaw",120,2.0,0.0,13.7,0.0,36.0,0.26,0.79,13.17,2.8,9.33,7.09
"Rolls, sweet, dinner",321,55.0,51.0,0.2,0.0,62.0,2.74,10.04,53.58,3.1,15.38,7.37
"Cherries, raw, sweet",63,0.0,0.0,7.0,0.0,13.0,0.36,1.06,16.01,2.1,12.82,0.2
"Ostrich, raw, round",165,71.0,0.0,0.0,0.0,7.0,2.91,20.22,0.0,0.0,0.0,8.7
"SILK Coffee, soymilk",62,0.0,0.0,0.0,0.0,123.0,0.0,2.06,10.29,0.0,9.47,1.44
"Snacks, banana chips",519,0.0,0.0,6.3,0.0,18.0,1.25,2.3,58.4,7.7,35.34,33.6
"Peaches, raw, yellow",39,0.0,0.0,6.6,0.0,6.0,0.25,0.91,9.54,1.5,8.39,0.25
"Rolls, wheat, dinner",273,0.0,45.0,0.0,0.0,176.0,3.55,8.6,46.0,3.8,1.63,6.3
"Candies, HEATH BITES",530,19.0,0.0,0.8,0.0,86.0,0.78,3.94,63.39,2.0,60.02,30.38
"Chicken, raw, round",143,86.0,0.0,0.0,0.0,6.0,0.82,17.44,0.04,0.0,0.0,8.1
"Pears, bartlett, raw",63,0.0,0.0,4.4,0.0,9.0,0.19,0.39,15.01,3.1,9.69,0.16
"Toppins, strawberry",254,0.0,0.0,13.7,0.0,6.0,0.28,0.2,66.3,0.7,27.38,0.1
"KEEBLER, Suar Cones",375,0.0,0.0,0.0,0.0,0.0,3.2,7.3,78.0,2.1,26.4,3.7
"Seaweed, raw, wakame",45,0.0,0.0,3.0,0.0,150.0,2.18,3.03,9.14,0.5,0.65,0.64
"Seaweed, dried, aar",306,0.0,0.0,0.0,0.0,625.0,21.4,6.21,80.88,7.7,2.97,0.3
"Bread, cracked-wheat",260,0.0,22.0,0.0,0.0,43.0,2.81,8.7,49.5,5.5,0.0,3.9
"Amaranth leaves, raw",23,0.0,0.0,43.3,0.0,215.0,2.32,2.46,4.02,0.0,0.0,0.33
"Barley, raw, pearled",352,0.0,0.0,0.0,0.0,29.0,2.5,9.91,77.72,15.6,0.8,1.16
"Polish sausae, pork",326,70.0,0.0,1.0,0.0,12.0,1.44,14.1,1.63,0.0,0.0,28.72
"Spices, curry powder",325,0.0,0.0,0.7,0.0,525.0,19.1,14.29,55.83,53.2,2.76,14.01
"Bacon bits, meatless",476,0.0,0.0,1.9,0.0,101.0,0.72,32.0,28.6,10.2,0.0,25.9
